English word,French word,Frequency
disgrace,disgrâce,46
distributed,distribué,2
doctor,docteur,34
doing,Faire,67
double,double,83
drawn,tiré,84
dreams,rêves,45
drown,noyer,82
durst,durst,45
dwell,habiter,40
early,de bonne heure,46
earth,Terre,313
effect,effet,70
either,Soit,115
elder,aîné,43
enemies,ennemis,111
enjoy,prendre plaisir,49
enough,assez,291
entertain,divertir,55
entertainment,divertissement,37
eternal,éternel,37
every,chaque,456
excellent,excellent,100
excuse,excuse,72
faces,visages,53
faint,perdre connaissance,44
faith,Foi,317
false,faux,283
farther,plus loin,42
fashion,mode,110
father,père,1034
fault,faute,170
favour,favoriser,137
fearful,craintif,90
fears,peurs,74
feast,le banquet,97
feeble,faible,21
field,champ,188
fierce,féroce,37
fiery,ardent,47
fight,bats toi,272
first,première,468
flatter,flatter,51
flesh,la chair,137
flies,mouches,56
flourish,fleurir,42
flower,fleur,47
flowers,fleurs,46
folly,folie,79
forbear,ancêtre,44
forbid,interdire,70
force,Obliger,103
forget,oublier,90
former,ancien,63
forth,en avant,369
fortune,fortune,263
found,a trouvé,219
frame,Cadre,45
freely,librement,52
fresh,Frais,86
friend,ami,435
frown,froncer les sourcils,51
further,plus loin,184
gates,portes,101
general,général,187
gentle,doux,345
given,donné,183
glass,verre,68
glorious,glorieux,41
glory,gloire,86
going,Aller,102
golden,d'or,86
grace,la grâce,274
grant,subvention,99
grave,la tombe,182
great,génial,830
green,vert,88
greet,saluer,41
grief,douleur,212
grieve,pleurer,39
gross,brut,55
ground,sol,165
grown,grandi,59
guard,garde,105
guess,devine,50
hands,mains,319
hanging,pendaison,35
happy,heureux,187
haste,hâte,154
having,ayant,122
health,santé,91
heart,cœur,1051
heaven,paradis,577
heavy,lourd,167
hence,Par conséquent,312
horse,cheval,241
hours,heures,139
house,maison,547
humble,humble,72
hundred,cent,114
husband,mari,321
image,image,45
indeed,En effet,358
instant,instant,61
issue,problème,110
jealous,jaloux,49
jewel,bijou,58
judgment,jugement,102
keeps,garde,69
kindness,la gentillesse,51
kingdom,Royaume,101
kings,rois,106
knife,couteau,55
knowledge,connaissance,76
known,connu,184
knows,sait,205
large,grand,69
lawful,légitime,60
learn,apprendre,113
learned,appris,49
least,moins,101
leave,laisser,610
leisure,loisir,63
liberty,liberté,71
light,lumière,256
limbs,membres,47
little,peu,476
lives,vies,188
living,vivant,120
longer,plus long,106
looks,regards,202
lovely,charmant,53
lovers,les amoureux,55
loves,aime,194
loving,aimant,117
machine,machine,2
maiden,jeune fille,49
majesty,majesté,69
makes,fait du,311
march,Mars,82
master,Maître,503
matter,matière,354
means,veux dire,261
meant,signifiait,53
measure,mesure,87
memory,Mémoire,58
merit,mérite,51
might,pourrait,453
mistress,maîtresse,262
money,argent,179
month,mois,44
morning,Matin,130
morrow,demain,326
mortal,mortel,96
mother,mère,399
motion,mouvement,80
music,la musique,162
naked,nu,50
nature,la nature,332
needs,Besoins,142
never,jamais,907
night,nuit,808
nothing,rien,541
nought,néant,54
number,nombre,54
nurse,infirmière,73
object,objet,39
offence,infraction,94
offend,offenser,57
often,souvent,121
other,autre,688
others,autres,182
outward,vers l'extérieur,50
painted,peint,52
painter,peintre,10
paper,papier,106
pardon,pardon,243
parts,les pièces,107
party,fête,51
passion,la passion,106
patience,la patience,160
peace,paix,396
perceive,apercevoir,91
perfect,parfait,55
perhaps,peut-être,32
person,la personne,150
picture,image,43
place,endroit,450
plain,plaine,117
plead,plaider,41
please,S'il vous plaît,334
pleasure,plaisir,179
pluck,cueillir,116
point,point,145
porter,porter,98
power,Puissance,302
praise,louange,177
precious,précieux,76
prepare,préparer,48
presence,présence,103
present,présent,239
pretty,jolie,109
pride,fierté,106
private,privé,66
prize,prix,47
proceed,procéder,47
profit,profit,38
promise,promettre,105
proud,fier,194
prove,prouver,233
public,Publique,55
purpose,objectif,203
quality,qualité,55
question,question,148
quick,rapide,101
quiet,silencieux,73
quite,assez,72
ransom,une rançon,59
readable,lisible,2
receive,recevoir,81
reign,règne,46
remain,rester,59
remedy,remède,59
remember,rappelles toi,152
repair,réparation,38
repent,se repentir,52
report,rapport,142
reputation,réputation,45
request,demande,67
respect,le respect,100
return,revenir,224
right,droite,325
rotten,pourri,36
sacred,sacré,46
scorn,mépris,104
second,seconde,100
secret,secret,65
seeing,voyant,42
sense,sens,124
servant,serviteur,148
shadow,ombre,71
shake,secouer,91
shall,doit,3127
shame,la honte,294
shape,forme,87
sharp,tranchant,67
shine,éclat,43
shore,rive,49
short,court,103
should,devrait,1428
shows,montre,95
sight,vue,200
silver,argent,65
simple,Facile,72
since,depuis,286
single,Célibataire,58
skill,compétence,51
slain,tué,124
slander,calomnie,50
slave,esclave,128
sleep,sommeil,242
small,petit,85
smell,odeur,50
solemn,solennel,38
sometime,parfois,59
sorrow,chagrin,185
sorry,Pardon,88
sought,recherché,35
souls,âmes,110
sovereign,souverain,150
speak,parler,1005
special,spécial,38
speed,la vitesse,112
spend,dépenser,67
spirit,esprit,254
spite,dépit,59
spring,printemps,57
stain,tache,62
stand,supporter,466
stars,étoiles,68
state,Etat,304
steal,voler,78
steel,acier,69
still,encore,499
stone,calcul,65
store,boutique,40
storm,orage,52
straight,tout droit,145
strange,étrange,241
strength,force,120
strong,fort,190
subject,matière,104
substance,substance,41
suffer,souffrir,102
summer,été,89
suspect,suspect,35
sweet,sucré,664
swift,rapide,67
sword,épée,351
table,table,60
taste,goût,75
taught,enseigné,48
teach,enseigner,91
tears,larmes,274
teeth,les dents,55
tells,raconte,40
tender,soumissionner,147
thank,remercier,280
their,leur,1935
themselves,se,158
there,Là,1500
therefore,par conséquent,363
therein,la bride,47
these,celles-ci,1101
thief,voleur,68
thing,chose,358
think,pense,986
those,ceux,467
though,bien que,400
thought,pensée,373
thrive,prospérer,56
through,par,227
thrust,poussée,47
thunder,tonnerre,56
times,fois,208
title,Titre,91
together,ensemble,241
tongue,langue,411
toward,vers,94
treasure,Trésor,53
triumph,triomphe,47
trouble,difficulté,72
truly,vraiment,124
trust,confiance,156
truth,vérité,334
turns,se tourne,47
twice,deux fois,62
tyrant,tyran,58
under,sous,208
unless,sauf si,64
version,version,1
virtue,vertu,179
voice,voix,157
walls,des murs,84
waste,déchets,43
watch,regarder,135
water,eau,148
wealth,richesse,72
weary,se lasser,73
weeds,mauvaises herbes,42
weight,poids,44
welcome,Bienvenue,273
whence,d'où,58
where,où,684
wherein,où,66
whether,qu'il s'agisse,56
which,lequel,1418
while,tandis que,177
whose,dont,383
widow,veuve,70
willing,prêt,36
winter,hiver,67
wisdom,sagesse,92
within,dans,340
without,sans pour autant,287
witness,témoin,108
woman,femme,416
wonder,merveille,116
works,travaux,22
world,monde,678
worse,pire,151
worth,vaut,201
would,aurait,2027
wound,blessure,70
wretch,misérable,59
write,écrire,105
written,écrit,34
wrong,faux,272
wrought,forgé,42
yield,rendement,128
young,Jeune,406
yours,le tiens,248
youth,jeunesse,275
accuse,accuser,34
advice,Conseil,43
affections,affections,40
afterwards,ensuite,38
ambition,ambition,45
angel,ange,55
anything,n'importe quoi,100
appears,apparaît,49
asleep,endormi,59
assure,assurer,46
bearing,palier,63
become,devenir,131
begin,commencer,102
besides,outre,49
betray,trahir,56
bitter,amer,73
bless,bénir,97
broke,cassé,84
brows,sourcils,45
burden,fardeau,45
business,Entreprise,231
catch,capture,74
charge,charge,197
chaste,chaste,37
cheer,acclamation,78
clown,pitre,16
colour,Couleur,89
comes,vient,590
command,commander,158
commit,commettre,30
companion,un compagnon,36
conscience,conscience,119
contempt,mépris,43
counsel,Conseil,131
court,tribunal,255
cousin,cousin,236
creature,créature,72
credit,crédit,51
crown,couronne,296
daughter,fille,426
denied,refusé,52
deserve,mériter,59
despair,désespoir,46
desperate,désespéré,50
devil,diable,235
discourse,discours,58
dispatch,envoi,76
divine,Divin,48
doubt,doute,162
dream,rêver,126
drink,boisson,149
drops,gouttes,51
drunk,ivre,68
dying,en train de mourir,45
endure,supporter,73
enemy,ennemi,167
equal,égal,43
except,sauf,22
express,Express,43
falls,des chutes,67
familiar,familier,35
fancy,fantaisie,56
farewell,adieu,161
fellow,compagnon,306
fiend,démon,65
figure,figure,41
finds,trouve,38
finger,doigt,64
follow,suivre,281
foolish,insensé,95
fools,imbéciles,100
forward,vers l'avant,87
fought,combattu,65
fruit,fruit,37
ghost,fantôme,30
giving,donnant,34
goodness,la bonté,55
guilty,coupable,69
habit,habitude,39
hangs,bloque,34
heard,entendu,339
herself,se,91
holds,tient,73
honest,honnête,274
humour,humour,90
itself,lui-même,236
knave,fripon,174
knowing,connaissance,32
ladies,Dames,104
lords,seigneurs,329
madness,la démence,67
maintain,maintenir,48
making,fabrication,56
manner,manière,81
marriage,mariage,117
marry,marier,182
mercy,pitié,171
minds,esprits,55
mistake,erreur,34
myself,moi même,512
native,originaire de,43
neighbour,voisine,51
neither,ni,155
oaths,serments,68
office,Bureau,127
ourselves,nous-mêmes,108
pains,des douleurs,91
palace,palais,151
particular,particulier,54
partly,partiellement,33
passage,passage,35
patient,patient,88
plague,peste,88
poison,poison,89
policy,politique,45
prayers,prières,85
project,projet,12
proof,preuve,80
queen,reine,189
quoth,quoth,62
rather,plutôt,290
reason,raison,279
render,rendre,44
revolt,révolte,41
royal,Royal,205
safety,sécurité,74
saint,Saint,25
saying,en disant,50
season,saison,45
serve,servir,184
service,un service,221
several,nombreuses,79
sickness,maladie,53
silence,silence,62
sirrah,sirrah,77
soldier,soldat,148
something,quelque chose,152
sooner,plus tôt,60
sound,du son,172
speech,discours,128
spoke,parlait,137
sport,sport,119
stomach,estomac,43
story,récit,67
struck,frappé,73
swear,jurer,241
sworn,juré,132
taken,pris,90
terms,termes,74
third,troisième,73
throw,jeter,90
touch,toucher,156
train,train,124
treason,trahison,84
trial,procès,60
trick,tour,53
understand,comprendre,97
undone,défait,52
unknown,inconnue,41
valiant,vaillant,149
valour,valeur,99
vantage,avantage,40
warlike,guerrier,57
whole,entier,120
withal,avec,136
worship,culte,104
wounded,blessés,38
affection,affection,71
afraid,peur,41
along,le long de,108
approach,approche,64
attended,assisté,42
awhile,quelque temps,101
banish,bannir,116
battle,bataille,117
between,entre,195
bought,acheté,51
brother,frère,599
cares,se soucie,36
chair,chaise,40
chamber,chambre,119
choice,choix,70
clothes,vêtements,40
college,Université,3
commanded,commandé,35
commission,commission,48
conduct,conduite,46
constable,gendarme,18
council,conseil,23
country,pays,180
courage,courage,57
courtesy,courtoisie,64
dance,Danse,68
danger,danger,99
deliver,livrer,119
demand,demande,53
dinner,dîner,92
displeasure,mécontentement,41
dreadful,horrible,59
embrace,embrasse,61
encounter,rencontre,52
enter,entrer,369
entreat,supplier,106
estate,biens,49
everything,tout,41
flight,vol,52
forsooth,en vérité,42
gallant,galant,55
happiness,bonheur,55
hazard,danger,39
heads,têtes,110
heels,talons,73
hostess,hôtesse,29
infinite,infini,38
intent,intention,50
justice,Justice,142
kneel,s'agenouiller,62
knight,Chevalier,122
knock,frappe,64
labour,la main d'oeuvre,92
ladyship,Madame,43
laugh,rire,110
letter,lettre,245
liege,Liege,140
lordship,seigneurie,124
match,rencontre,98
merry,joyeux,165
messenger,Messager,58
mighty,puissant,107
minister,ministre,38
misery,misère,37
modest,modeste,35
mouth,bouche,145
noble,noble,588
noise,bruit,107
offer,offre,104
order,ordre,90
peril,péril,43
practice,entraine toi,41
priest,prêtre,61
proclaim,proclamer,50
protest,manifestation,52
quarrel,querelle,95
rascal,coquin,60
revenge,vengeance,129
scarce,rare,67
search,chercher,43
sentence,phrase,39
sister,sœur,194
spare,de rechange,48
stood,se tenait,82
strike,la grève,116
success,Succès,44
surely,sûrement,35
tailor,tailleur,35
tarry,goudronneux,35
tedious,fastidieux,44
traitor,traitre,131
tread,bande de roulement,41
uncle,oncle,191
until,jusqu'à,41
unworthy,indigne,31
vengeance,vengeance,177
violent,violent,41
warrant,mandat,175
whither,où,38
window,la fenêtre,48
wings,ailes,54
wrath,colère,55
yonder,là-bas,59
yourself,toi même,268
ancient,ancien,72
behalf,nom,45
belike,être comme,22
bottom,bas,36
close,proche,96
company,entreprise,203
condition,état,56
dagger,dague,44
deadly,mortel,50
dishonour,déshonorer,48
disposition,disposition,44
drums,tambours,36
fetch,chercher,103
henceforth,désormais,25
hereafter,ci-après, par la suite,45
ignorant,ignorant,48
innocent,innocent,50
malice,malice,70
meaning,sens,55
midnight,minuit,41
opinion,opinion,81
parted,séparé,44
possible,possible,57
prince,prince,119
prison,prison,89
proper,correct,62
purse,bourse,87
rogue,coquin,79
rough,rugueux,66
street,rue,79
suddenly,tout à coup,48
swore,juré,50
throne,trône,67
undertake,entreprendre,45
unhappy,malheureux,34
utter,prononcer,41
villain,scélérat,229
wench,jeune fille,62
wives,épouses,58
abroad,à l'étranger,63
blows,coups,68
custom,Douane,43
doors,des portes,61
gaunt,décharné,6
intend,avoir l'intention,51
loose,ample,50
mirth,gaieté,51
names,des noms,49
natural,Naturel,57
occasion,occasion,73
people,gens,213
piece,pièce,89
ready,prêt,125
scene,scène,34
shortly,prochainement,44
soothsayer,devin,3
speaks,parle,125
stroke,accident vasculaire cérébral,40
sudden,soudain,78
supper,souper,61
sweat,transpiration,37
throat,gorge,51
trumpet,trompette,79
victory,la victoire,46
witch,sorcière,43
armour,armure,41
beyond,au-delà,43
challenge,défi,47
defend,défendre,65
dread,crainte,46
emperor,empereur,17
empty,vide,49
fairy,Fée,41
garden,jardin,46
hateful,odieux,39
lieutenant,lieutenant,32
maids,servantes,42
meeting,réunion,50
monster,monstre,76
personal,personnel,13
raise,élever,43
round,rond,72
satisfied,satisfait,48
staff,Personnel,41
tower,la tour,11
whore,putain,46
avoid,éviter,34
bodies,corps,44
brook,ruisseau,43
chain,chaîne,66
device,dispositif,43
judge,juge,84
lands,terres,53
merchant,marchande,31
niece,nièce,61
obedience,obéissance,48
provided,à condition de,27
reverence,révérence,44
shepherd,berger,68
study,étude,60
stuff,des trucs,63
visit,visite,50
weeping,larmes,56
church,église,55
forest,forêt,61
knees,les genoux,51
murder,meurtre,57
seven,Sept,64
slender,mince,10
smile,sourire,69
according,selon,24
claim,prétendre,64
degree,diplôme,46
flood,inonder,47
fourth,Quatrième,11
hollow,creux,48
prologue,prologue,19
damned,damné,43
execution,exécution,48
pound,livre,54
fatal,fatal,42
rivers,rivières,11
senator,sénateur,4
tonight,ce soir,47
tribunes,tribunes,27
weapons,armes,40
citizen,citoyenne,5
exeunt,sortir,7
charity,charité,54
mischief,sottises,41
regard,qui concerne,41
forces,les forces,42
complete,Achevée,19
murther,aller plus loin,45
tempest,tempête,42
realm,domaine,53
steward,intendant,22
castle,Château,52
pistol,pistolet,4
elbow,coude,19
cardinal,cardinal,9
bishop,évêque,3
permission,autorisation,4
includes,comprend,2
protector,protecteur,2
library,bibliothèque,3
countess,comtesse,1
highness,altesse,1
